Year,NOC,Lagged_Squad_Size,Lagged_NOC_Events_Entered,Lagged_Sport_Diversity,Lagged_Global_Total_Events,Lagged_Global_Nations_Count,Lagged_Share_of_Entries,Lagged_Expected_Share,Lagged_RCA_Macro,Lagged_Specialization_Index,Lagged_Total_Medals,Lagged_2_Total_Medals,Lagged_3_Total_Medals,Is_Host,Has_Medal_before,Total,Gold,Silver,Bronze
1996,MAS,26.0,11.0,6.0,573.0,168.0,0.0017541062031573912,0.005952380952380952,0.29468984213044175,1.8333333333333333,1.0,0.0,0.0,0,1,2,0,1,1
2000,MAS,35.0,21.0,8.0,604.0,197.0,0.003100546286726709,0.005076142131979695,0.6108076184851616,2.625,2.0,1.0,0.0,0,1,0,0,0,0
2004,MAS,40.0,32.0,9.0,667.0,199.0,0.004558404558404558,0.005025125628140704,0.9071225071225071,3.5555555555555554,0.0,2.0,1.0,0,1,0,0,0,0
2008,MAS,26.0,31.0,11.0,669.0,201.0,0.004518291794199096,0.004975124378109453,0.9081766506340183,2.8181818181818183,0.0,0.0,2.0,0,1,1,0,1,0
2012,MAS,31.0,29.0,10.0,673.0,204.0,0.004097781545852762,0.004901960784313725,0.8359474353539635,2.9,1.0,0.0,0.0,0,1,2,0,1,1
2016,MAS,28.0,25.0,9.0,670.0,204.0,0.0035739814152966403,0.004901960784313725,0.7290922087205146,2.7777777777777777,2.0,1.0,0.0,0,1,5,0,4,1
2020,MAS,32.0,29.0,10.0,682.0,205.0,0.0040850824059726724,0.004878048780487805,0.8374418932243979,2.9,5.0,2.0,1.0,0,1,2,0,1,1
2024,MAS,30.0,37.0,10.0,761.0,205.0,0.005392799883398921,0.004878048780487805,1.1055239760967788,3.7,2.0,5.0,2.0,0,1,2,0,0,2
1972,MAW,,,,,,,,,,,,,0,0,0,0,0,0
1984,MAW,16.0,17.0,3.0,439.0,121.0,0.003854001360235774,0.008264462809917356,0.46633416458852867,5.666666666666667,0.0,,,0,0,0,0,0,0
1988,MAW,15.0,16.0,3.0,492.0,140.0,0.0035610950367237926,0.007142857142857143,0.498553305141331,5.333333333333333,0.0,0.0,,0,0,0,0,0,0
1992,MAW,16.0,16.0,3.0,528.0,159.0,0.002772483105181078,0.006289308176100629,0.44082481372379134,5.333333333333333,0.0,0.0,0.0,0,0,0,0,0,0
1996,MAW,4.0,4.0,1.0,573.0,168.0,0.0006378568011481422,0.005952380952380952,0.1071599425928879,4.0,0.0,0.0,0.0,0,0,0,0,0,0
2000,MAW,2.0,2.0,1.0,604.0,197.0,0.0002952901225454009,0.005076142131979695,0.05817215414144398,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2004,MAW,2.0,2.0,1.0,667.0,199.0,0.0002849002849002849,0.005025125628140704,0.05669515669515669,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2008,MAW,4.0,4.0,2.0,669.0,201.0,0.0005830053927998834,0.004975124378109453,0.11718408395277656,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2012,MAW,4.0,4.0,2.0,673.0,204.0,0.0005652112477038293,0.004901960784313725,0.11530309453158118,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2016,MAW,3.0,3.0,2.0,670.0,204.0,0.00042887776983559683,0.004901960784313725,0.08749106504646176,1.5,0.0,0.0,0.0,0,0,0,0,0,0
2020,MAW,5.0,5.0,3.0,682.0,205.0,0.000704324552753909,0.004878048780487805,0.14438653331455134,1.6666666666666667,0.0,0.0,0.0,0,0,0,0,0,0
2024,MAW,5.0,5.0,4.0,761.0,205.0,0.0007287567409998542,0.004878048780487805,0.1493951319049701,1.25,0.0,0.0,0.0,0,0,0,0,0,0
1996,MDA,,,,,,,,,,,,,0,0,2,0,1,1
2000,MDA,40.0,41.0,10.0,604.0,197.0,0.006053447512180718,0.005076142131979695,1.1925291598996015,4.1,2.0,,,0,1,2,0,1,1
2004,MDA,34.0,34.0,7.0,667.0,199.0,0.004843304843304843,0.005025125628140704,0.9638176638176638,4.857142857142857,2.0,2.0,,0,1,0,0,0,0
2008,MDA,33.0,31.0,8.0,669.0,201.0,0.004518291794199096,0.004975124378109453,0.9081766506340183,3.875,0.0,2.0,2.0,0,1,1,0,0,1
2012,MDA,29.0,28.0,8.0,673.0,204.0,0.003956478733926805,0.004901960784313725,0.8071216617210683,3.5,1.0,0.0,2.0,0,1,0,0,0,0
2016,MDA,20.0,19.0,9.0,670.0,204.0,0.0027162258756254468,0.004901960784313725,0.5541100786275911,2.111111111111111,0.0,1.0,0.0,0,1,0,0,0,0
2020,MDA,23.0,22.0,9.0,682.0,205.0,0.0030990280321171997,0.004878048780487805,0.6353007465840259,2.4444444444444446,0.0,0.0,1.0,0,1,1,0,0,1
2024,MDA,20.0,23.0,8.0,761.0,205.0,0.0033522810085993295,0.004878048780487805,0.6872176067628626,2.875,1.0,0.0,0.0,0,1,4,0,1,3
1988,MDV,,,,,,,,,,,,,0,0,0,0,0,0
1992,MDV,7.0,5.0,1.0,528.0,159.0,0.0008664009703690869,0.006289308176100629,0.1377577542886848,5.0,0.0,,,0,0,0,0,0,0
1996,MDV,7.0,8.0,2.0,573.0,168.0,0.0012757136022962844,0.005952380952380952,0.2143198851857758,4.0,0.0,0.0,,0,0,0,0,0,0
2000,MDV,6.0,6.0,2.0,604.0,197.0,0.0008858703676362026,0.005076142131979695,0.17451646242433191,3.0,0.0,0.0,0.0,0,0,0,0,0,0
2004,MDV,4.0,4.0,2.0,667.0,199.0,0.0005698005698005698,0.005025125628140704,0.11339031339031339,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2008,MDV,4.0,4.0,2.0,669.0,201.0,0.0005830053927998834,0.004975124378109453,0.11718408395277656,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2012,MDV,4.0,4.0,2.0,673.0,204.0,0.0005652112477038293,0.004901960784313725,0.11530309453158118,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2016,MDV,5.0,5.0,3.0,670.0,204.0,0.0007147962830593281,0.004901960784313725,0.14581844174410294,1.6666666666666667,0.0,0.0,0.0,0,0,0,0,0,0
2020,MDV,4.0,4.0,2.0,682.0,205.0,0.0005634596422031273,0.004878048780487805,0.11550922665164108,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2024,MDV,4.0,4.0,3.0,761.0,205.0,0.0005830053927998834,0.004878048780487805,0.1195161055239761,1.3333333333333333,0.0,0.0,0.0,0,0,0,0,0,0
1900,MEX,,,,,,,,,,,,,0,0,0,0,0,0
1924,MEX,1.0,1.0,1.0,236.0,31.0,0.0024937655860349127,0.03225806451612903,0.0773067331670823,1.0,0.0,,,0,0,0,0,0,0
1928,MEX,15.0,15.0,3.0,292.0,44.0,0.009270704573547589,0.022727272727272728,0.4079110012360939,5.0,0.0,0.0,,0,0,0,0,0,0
1932,MEX,29.0,17.0,5.0,252.0,46.0,0.011096605744125326,0.021739130434782608,0.5104438642297651,3.4,0.0,0.0,0.0,0,0,0,0,0,0
1936,MEX,70.0,51.0,11.0,268.0,37.0,0.05828571428571429,0.02702702702702703,2.1565714285714286,4.636363636363637,0.0,0.0,0.0,0,0,3,0,0,3
1948,MEX,32.0,14.0,8.0,302.0,49.0,0.006796116504854369,0.02040816326530612,0.3330097087378641,1.75,3.0,0.0,0.0,0,1,5,2,1,2
1952,MEX,88.0,57.0,14.0,312.0,59.0,0.025780189959294438,0.01694915254237288,1.5210312075983718,4.071428571428571,5.0,3.0,0.0,0,1,1,0,1,0
1956,MEX,64.0,35.0,13.0,338.0,69.0,0.011776581426648721,0.014492753623188406,0.8125841184387618,2.6923076923076925,1.0,5.0,3.0,0,1,2,1,0,1
1960,MEX,24.0,20.0,10.0,342.0,72.0,0.009212344541685858,0.013888888888888888,0.6632888070013818,2.0,2.0,1.0,5.0,0,1,0,0,0,0
1964,MEX,69.0,55.0,14.0,340.0,84.0,0.016335016335016335,0.011904761904761904,1.3721413721413722,3.9285714285714284,0.0,2.0,1.0,0,1,1,0,0,1
1968,MEX,93.0,58.0,15.0,370.0,93.0,0.01795109873104302,0.010752688172043012,1.6694521819870007,3.8666666666666667,1.0,0.0,2.0,1,1,9,3,3,3
1972,MEX,272.0,146.0,20.0,386.0,112.0,0.039630836047774155,0.008928571428571428,4.438653637350706,7.3,9.0,1.0,0.0,0,1,1,0,1,0
1976,MEX,171.0,112.0,20.0,439.0,121.0,0.02539106778508275,0.008264462809917356,3.0723192019950125,5.6,1.0,9.0,1.0,0,1,2,1,0,1
1980,MEX,96.0,54.0,17.0,444.0,92.0,0.01437699680511182,0.010869565217391304,1.3226837060702876,3.176470588235294,2.0,1.0,9.0,0,1,4,0,1,3
1984,MEX,45.0,43.0,12.0,454.0,80.0,0.013466958972752897,0.0125,1.0773567178202317,3.5833333333333335,4.0,2.0,1.0,0,1,6,2,3,1
1988,MEX,98.0,87.0,18.0,492.0,140.0,0.019363454262185623,0.007142857142857143,2.710883596705987,4.833333333333333,6.0,4.0,2.0,0,1,2,0,0,2
1992,MEX,81.0,82.0,17.0,528.0,159.0,0.014208975914053023,0.006289308176100629,2.2592271703344307,4.823529411764706,2.0,6.0,4.0,0,1,1,0,1,0
1996,MEX,102.0,71.0,18.0,573.0,168.0,0.011321958220379525,0.005952380952380952,1.9020889810237605,3.9444444444444446,1.0,2.0,6.0,0,1,1,0,0,1
2000,MEX,97.0,57.0,19.0,604.0,197.0,0.008415768492543925,0.005076142131979695,1.6579063930311533,3.0,1.0,1.0,2.0,0,1,6,1,2,3
2004,MEX,78.0,67.0,19.0,667.0,199.0,0.009544159544159544,0.005025125628140704,1.8992877492877491,3.526315789473684,6.0,1.0,1.0,0,1,4,0,3,1
2008,MEX,109.0,68.0,20.0,669.0,201.0,0.009911091677598018,0.004975124378109453,1.9921294271972017,3.4,4.0,6.0,1.0,0,1,4,2,0,2
2012,MEX,83.0,73.0,23.0,673.0,204.0,0.010315105270594885,0.004901960784313725,2.1042814752013563,3.1739130434782608,4.0,4.0,6.0,0,1,8,1,3,4
2016,MEX,99.0,75.0,23.0,670.0,204.0,0.010721944245889922,0.004901960784313725,2.187276626161544,3.260869565217391,8.0,4.0,4.0,0,1,5,0,3,2
2020,MEX,122.0,80.0,27.0,682.0,205.0,0.011269192844062545,0.004878048780487805,2.3101845330328215,2.962962962962963,5.0,8.0,4.0,0,1,4,0,0,4
2024,MEX,162.0,87.0,31.0,761.0,205.0,0.012680367293397464,0.004878048780487805,2.59947529514648,2.806451612903226,4.0,5.0,8.0,0,1,5,0,3,2
1964,MGL,,,,,,,,,,,,,0,0,0,0,0,0
1968,MGL,21.0,29.0,5.0,370.0,93.0,0.00897554936552151,0.010752688172043012,0.8347260909935004,5.8,0.0,,,0,0,4,0,1,3
1972,MGL,16.0,26.0,4.0,386.0,112.0,0.007057546145494028,0.008928571428571428,0.7904451682953312,6.5,4.0,0.0,,0,1,1,0,1,0
1976,MGL,39.0,39.0,7.0,439.0,121.0,0.0088415325323056,0.008264462809917356,1.0698254364089776,5.571428571428571,1.0,4.0,0.0,0,1,1,0,1,0
1980,MGL,32.0,29.0,5.0,444.0,92.0,0.0077209797657082,0.010869565217391304,0.7103301384451545,5.8,1.0,1.0,4.0,0,1,4,0,2,2
1988,MGL,43.0,41.0,8.0,454.0,80.0,0.012840588787973693,0.0125,1.0272471030378953,5.125,4.0,1.0,1.0,0,1,1,0,0,1
1992,MGL,28.0,28.0,5.0,528.0,159.0,0.004851845434066886,0.006289308176100629,0.7714434240166349,5.6,1.0,4.0,1.0,0,1,2,0,0,2
1996,MGL,33.0,31.0,8.0,573.0,168.0,0.004943390208898103,0.005952380952380952,0.8304895550948813,3.875,2.0,1.0,4.0,0,1,1,0,0,1
2000,MGL,16.0,16.0,7.0,604.0,197.0,0.002362320980363207,0.005076142131979695,0.4653772331315518,2.2857142857142856,1.0,2.0,1.0,0,1,0,0,0,0
2004,MGL,20.0,21.0,6.0,667.0,199.0,0.0029914529914529917,0.005025125628140704,0.5952991452991453,3.5,0.0,1.0,2.0,0,1,1,0,0,1
2008,MGL,20.0,21.0,7.0,669.0,201.0,0.003060778312199388,0.004975124378109453,0.615216440752077,3.0,1.0,0.0,1.0,0,1,4,2,2,0
2012,MGL,28.0,29.0,7.0,673.0,204.0,0.004097781545852762,0.004901960784313725,0.8359474353539635,4.142857142857143,4.0,1.0,0.0,0,1,5,0,2,3
2016,MGL,29.0,32.0,7.0,670.0,204.0,0.0045746962115796996,0.004901960784313725,0.9332380271622587,4.571428571428571,5.0,4.0,1.0,0,1,2,0,1,1
2020,MGL,43.0,41.0,9.0,682.0,205.0,0.005775461332582054,0.004878048780487805,1.183969573179321,4.555555555555555,2.0,5.0,4.0,0,1,4,0,1,3
2024,MGL,43.0,43.0,10.0,761.0,205.0,0.006267307972598747,0.004878048780487805,1.284798134382743,4.3,4.0,2.0,5.0,0,1,1,0,1,0
2008,MHL,,,,,,,,,,,,,0,0,0,0,0,0
2012,MHL,5.0,5.0,3.0,673.0,204.0,0.0007065140596297867,0.004901960784313725,0.14412886816447648,1.6666666666666667,0.0,,,0,0,0,0,0,0
2016,MHL,4.0,4.0,2.0,670.0,204.0,0.0005718370264474624,0.004901960784313725,0.11665475339528233,2.0,0.0,0.0,,0,0,0,0,0,0
2020,MHL,5.0,5.0,3.0,682.0,205.0,0.000704324552753909,0.004878048780487805,0.14438653331455134,1.6666666666666667,0.0,0.0,0.0,0,0,0,0,0,0
2024,MHL,2.0,2.0,1.0,761.0,205.0,0.0002915026963999417,0.004878048780487805,0.05975805276198805,2.0,0.0,0.0,0.0,0,0,0,0,0,0
1996,MKD,,,,,,,,,,,,,0,0,0,0,0,0
2000,MKD,11.0,16.0,4.0,604.0,197.0,0.002362320980363207,0.005076142131979695,0.4653772331315518,4.0,0.0,,,0,0,1,0,0,1
2004,MKD,10.0,15.0,5.0,667.0,199.0,0.002136752136752137,0.005025125628140704,0.42521367521367526,3.0,1.0,0.0,,0,1,0,0,0,0
2008,MKD,10.0,14.0,5.0,669.0,201.0,0.002040518874799592,0.004975124378109453,0.410144293834718,2.8,0.0,1.0,0.0,0,1,0,0,0,0
2012,MKD,7.0,7.0,5.0,673.0,204.0,0.0009891196834817012,0.004901960784313725,0.20178041543026706,1.4,0.0,0.0,1.0,0,1,0,0,0,0
2016,MKD,4.0,4.0,2.0,670.0,204.0,0.0005718370264474624,0.004901960784313725,0.11665475339528233,2.0,0.0,0.0,0.0,0,1,0,0,0,0
2020,MKD,6.0,6.0,4.0,682.0,205.0,0.0008451894633046908,0.004878048780487805,0.17326383997746161,1.5,0.0,0.0,0.0,0,1,1,0,1,0
2024,MKD,8.0,8.0,7.0,761.0,205.0,0.0011660107855997668,0.004878048780487805,0.2390322110479522,1.1428571428571428,1.0,0.0,0.0,0,1,0,0,0,0
1964,MLI,,,,,,,,,,,,,0,0,0,0,0,0
1968,MLI,2.0,2.0,1.0,370.0,93.0,0.0006190034045187249,0.010752688172043012,0.05756731662024141,2.0,0.0,,,0,0,0,0,0,0
1972,MLI,2.0,2.0,2.0,386.0,112.0,0.0005428881650380022,0.008928571428571428,0.06080347448425625,1.0,0.0,0.0,,0,0,0,0,0,0
1980,MLI,3.0,3.0,2.0,439.0,121.0,0.0006801178871004307,0.008264462809917356,0.08229426433915212,1.5,0.0,0.0,0.0,0,0,0,0,0,0
1984,MLI,7.0,7.0,3.0,454.0,80.0,0.002192295646727216,0.0125,0.17538365173817727,2.3333333333333335,0.0,0.0,0.0,0,0,0,0,0,0
1988,MLI,4.0,5.0,3.0,492.0,140.0,0.001112842198976185,0.007142857142857143,0.15579790785666592,1.6666666666666667,0.0,0.0,0.0,0,0,0,0,0,0
1992,MLI,6.0,8.0,3.0,528.0,159.0,0.001386241552590539,0.006289308176100629,0.22041240686189567,2.6666666666666665,0.0,0.0,0.0,0,0,0,0,0,0
1996,MLI,5.0,6.0,2.0,573.0,168.0,0.0009567852017222134,0.005952380952380952,0.16073991388933187,3.0,0.0,0.0,0.0,0,0,0,0,0,0
2000,MLI,3.0,4.0,1.0,604.0,197.0,0.0005905802450908018,0.005076142131979695,0.11634430828288796,4.0,0.0,0.0,0.0,0,0,0,0,0,0
2004,MLI,5.0,5.0,3.0,667.0,199.0,0.0007122507122507123,0.005025125628140704,0.14173789173789175,1.6666666666666667,0.0,0.0,0.0,0,0,0,0,0,0
2008,MLI,21.0,6.0,4.0,669.0,201.0,0.0008745080891998251,0.004975124378109453,0.17577612592916486,1.5,0.0,0.0,0.0,0,0,0,0,0,0
2012,MLI,17.0,6.0,4.0,673.0,204.0,0.000847816871555744,0.004901960784313725,0.17295464179737177,1.5,0.0,0.0,0.0,0,0,0,0,0,0
2016,MLI,6.0,6.0,4.0,670.0,204.0,0.0008577555396711937,0.004901960784313725,0.17498213009292352,1.5,0.0,0.0,0.0,0,0,0,0,0,0
2020,MLI,6.0,6.0,4.0,682.0,205.0,0.0008451894633046908,0.004878048780487805,0.17326383997746161,1.5,0.0,0.0,0.0,0,0,0,0,0,0
2024,MLI,4.0,4.0,3.0,761.0,205.0,0.0005830053927998834,0.004878048780487805,0.1195161055239761,1.3333333333333333,0.0,0.0,0.0,0,0,0,0,0,0
1928,MLT,,,,,,,,,,,,,0,0,0,0,0,0
1936,MLT,9.0,1.0,1.0,252.0,46.0,0.0006527415143603133,0.021739130434782608,0.030026109660574413,1.0,0.0,,,0,0,0,0,0,0
1948,MLT,11.0,2.0,2.0,302.0,49.0,0.000970873786407767,0.02040816326530612,0.047572815533980586,1.0,0.0,0.0,,0,0,0,0,0,0
1960,MLT,1.0,1.0,1.0,312.0,59.0,0.0004522840343735866,0.01694915254237288,0.02668475802804161,1.0,0.0,0.0,0.0,0,0,0,0,0,0
1968,MLT,10.0,6.0,4.0,340.0,84.0,0.001782001782001782,0.011904761904761904,0.1496881496881497,1.5,0.0,0.0,0.0,0,0,0,0,0,0
1972,MLT,1.0,1.0,1.0,386.0,112.0,0.0002714440825190011,0.008928571428571428,0.030401737242128125,1.0,0.0,0.0,0.0,0,0,0,0,0,0
1980,MLT,5.0,2.0,2.0,439.0,121.0,0.0004534119247336205,0.008264462809917356,0.05486284289276808,1.0,0.0,0.0,0.0,0,0,0,0,0,0
1984,MLT,8.0,5.0,3.0,454.0,80.0,0.0015659254619480112,0.0125,0.12527403695584088,1.6666666666666667,0.0,0.0,0.0,0,0,0,0,0,0
1988,MLT,7.0,6.0,5.0,492.0,140.0,0.0013354106387714222,0.007142857142857143,0.1869574894279991,1.2,0.0,0.0,0.0,0,0,0,0,0,0
1992,MLT,6.0,6.0,4.0,528.0,159.0,0.0010396811644429042,0.006289308176100629,0.16530930514642175,1.5,0.0,0.0,0.0,0,0,0,0,0,0
1996,MLT,6.0,8.0,4.0,573.0,168.0,0.0012757136022962844,0.005952380952380952,0.2143198851857758,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2000,MLT,7.0,10.0,5.0,604.0,197.0,0.0014764506127270044,0.005076142131979695,0.2908607707072199,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2004,MLT,7.0,7.0,5.0,667.0,199.0,0.0009971509971509972,0.005025125628140704,0.19843304843304843,1.4,0.0,0.0,0.0,0,0,0,0,0,0
2008,MLT,7.0,7.0,5.0,669.0,201.0,0.001020259437399796,0.004975124378109453,0.205072146917359,1.4,0.0,0.0,0.0,0,0,0,0,0,0
2012,MLT,6.0,6.0,4.0,673.0,204.0,0.000847816871555744,0.004901960784313725,0.17295464179737177,1.5,0.0,0.0,0.0,0,0,0,0,0,0
2016,MLT,5.0,5.0,3.0,670.0,204.0,0.0007147962830593281,0.004901960784313725,0.14581844174410294,1.6666666666666667,0.0,0.0,0.0,0,0,0,0,0,0
2020,MLT,7.0,8.0,4.0,682.0,205.0,0.0011269192844062545,0.004878048780487805,0.23101845330328216,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2024,MLT,6.0,8.0,5.0,761.0,205.0,0.0011660107855997668,0.004878048780487805,0.2390322110479522,1.6,0.0,0.0,0.0,0,0,0,0,0,0
2008,MNE,,,,,,,,,,,,,0,0,0,0,0,0
2012,MNE,19.0,8.0,6.0,673.0,204.0,0.0011304224954076585,0.004901960784313725,0.23060618906316235,1.3333333333333333,0.0,,,0,0,1,0,1,0
2016,MNE,33.0,9.0,7.0,670.0,204.0,0.0012866333095067906,0.004901960784313725,0.2624731951393853,1.2857142857142858,1.0,0.0,,0,1,0,0,0,0
2020,MNE,35.0,9.0,7.0,682.0,205.0,0.0012677841949570363,0.004878048780487805,0.25989575996619246,1.2857142857142858,0.0,1.0,0.0,0,1,0,0,0,0
2024,MNE,35.0,9.0,7.0,761.0,205.0,0.0013117621337997377,0.004878048780487805,0.26891123742894624,1.2857142857142858,0.0,0.0,1.0,0,1,0,0,0,0
1920,MON,,,,,,,,,,,,,0,0,0,0,0,0
1924,MON,4.0,6.0,2.0,363.0,29.0,0.004987531172069825,0.034482758620689655,0.14463840399002495,3.0,0.0,,,0,0,0,0,0,0
1928,MON,6.0,5.0,3.0,292.0,44.0,0.0030902348578491965,0.022727272727272728,0.13597033374536463,1.6666666666666667,0.0,0.0,,0,0,0,0,0,0
1936,MON,7.0,4.0,3.0,252.0,46.0,0.0026109660574412533,0.021739130434782608,0.12010443864229765,1.3333333333333333,0.0,0.0,0.0,0,0,0,0,0,0
1948,MON,6.0,3.0,1.0,302.0,49.0,0.0014563106796116505,0.02040816326530612,0.07135922330097089,3.0,0.0,0.0,0.0,0,0,0,0,0,0
1952,MON,4.0,2.0,1.0,312.0,59.0,0.0009045680687471732,0.01694915254237288,0.05336951605608322,2.0,0.0,0.0,0.0,0,0,0,0,0,0
1960,MON,8.0,6.0,2.0,338.0,69.0,0.002018842530282638,0.014492753623188406,0.13930013458950202,3.0,0.0,0.0,0.0,0,0,0,0,0,0
1964,MON,11.0,6.0,3.0,340.0,84.0,0.001782001782001782,0.011904761904761904,0.1496881496881497,2.0,0.0,0.0,0.0,0,0,0,0,0,0
1968,MON,1.0,1.0,1.0,370.0,93.0,0.00030950170225936243,0.010752688172043012,0.028783658310120704,1.0,0.0,0.0,0.0,0,0,0,0,0,0
1972,MON,2.0,1.0,1.0,386.0,112.0,0.0002714440825190011,0.008928571428571428,0.030401737242128125,1.0,0.0,0.0,0.0,0,0,0,0,0,0
1976,MON,5.0,4.0,2.0,439.0,121.0,0.000906823849467241,0.008264462809917356,0.10972568578553615,2.0,0.0,0.0,0.0,0,0,0,0,0,0
1984,MON,8.0,6.0,3.0,444.0,92.0,0.001597444089456869,0.010869565217391304,0.14696485623003194,2.0,0.0,0.0,0.0,0,0,0,0,0,0
1988,MON,8.0,7.0,5.0,492.0,140.0,0.0015579790785666592,0.007142857142857143,0.21811707099933228,1.4,0.0,0.0,0.0,0,0,0,0,0,0
1992,MON,9.0,9.0,7.0,528.0,159.0,0.0015595217466643563,0.006289308176100629,0.24796395771963264,1.2857142857142858,0.0,0.0,0.0,0,0,0,0,0,0
1996,MON,2.0,4.0,2.0,573.0,168.0,0.0006378568011481422,0.005952380952380952,0.1071599425928879,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2000,MON,3.0,4.0,3.0,604.0,197.0,0.0005905802450908018,0.005076142131979695,0.11634430828288796,1.3333333333333333,0.0,0.0,0.0,0,0,0,0,0,0
2004,MON,4.0,4.0,4.0,667.0,199.0,0.0005698005698005698,0.005025125628140704,0.11339031339031339,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2008,MON,3.0,3.0,3.0,669.0,201.0,0.00043725404459991256,0.004975124378109453,0.08788806296458243,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2012,MON,5.0,5.0,5.0,673.0,204.0,0.0007065140596297867,0.004901960784313725,0.14412886816447648,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2016,MON,6.0,6.0,6.0,670.0,204.0,0.0008577555396711937,0.004901960784313725,0.17498213009292352,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2020,MON,3.0,8.0,3.0,682.0,205.0,0.0011269192844062545,0.004878048780487805,0.23101845330328216,2.6666666666666665,0.0,0.0,0.0,0,0,0,0,0,0
2024,MON,6.0,6.0,5.0,761.0,205.0,0.0008745080891998251,0.004878048780487805,0.17927415828596416,1.2,0.0,0.0,0.0,0,0,0,0,0,0
1980,MOZ,,,,,,,,,,,,,0,0,0,0,0,0
1984,MOZ,14.0,16.0,2.0,454.0,80.0,0.005010961478233636,0.0125,0.4008769182586909,8.0,0.0,,,0,0,0,0,0,0
1988,MOZ,9.0,11.0,2.0,492.0,140.0,0.0024482528377476075,0.007142857142857143,0.3427553972846651,5.5,0.0,0.0,,0,0,0,0,0,0
1992,MOZ,8.0,12.0,3.0,528.0,159.0,0.0020793623288858083,0.006289308176100629,0.3306186102928435,4.0,0.0,0.0,0.0,0,0,0,0,0,0
1996,MOZ,6.0,7.0,2.0,573.0,168.0,0.001116249402009249,0.005952380952380952,0.18752989953755383,3.5,0.0,0.0,0.0,0,0,1,0,0,1
2000,MOZ,3.0,3.0,3.0,604.0,197.0,0.0004429351838181013,0.005076142131979695,0.08725823121216596,1.0,1.0,0.0,0.0,0,1,1,1,0,0
2004,MOZ,4.0,4.0,2.0,667.0,199.0,0.0005698005698005698,0.005025125628140704,0.11339031339031339,2.0,1.0,1.0,0.0,0,1,0,0,0,0
2008,MOZ,4.0,4.0,2.0,669.0,201.0,0.0005830053927998834,0.004975124378109453,0.11718408395277656,2.0,0.0,1.0,1.0,0,1,0,0,0,0
2012,MOZ,4.0,4.0,3.0,673.0,204.0,0.0005652112477038293,0.004901960784313725,0.11530309453158118,1.3333333333333333,0.0,0.0,1.0,0,1,0,0,0,0
2016,MOZ,6.0,6.0,4.0,670.0,204.0,0.0008577555396711937,0.004901960784313725,0.17498213009292352,1.5,0.0,0.0,0.0,0,1,0,0,0,0
2020,MOZ,6.0,7.0,4.0,682.0,205.0,0.0009860543738554725,0.004878048780487805,0.20214114664037186,1.75,0.0,0.0,0.0,0,1,0,0,0,0
2024,MOZ,10.0,9.0,6.0,761.0,205.0,0.0013117621337997377,0.004878048780487805,0.26891123742894624,1.5,0.0,0.0,0.0,0,1,0,0,0,0
1984,MRI,,,,,,,,,,,,,0,0,0,0,0,0
1988,MRI,4.0,7.0,1.0,492.0,140.0,0.0015579790785666592,0.007142857142857143,0.21811707099933228,7.0,0.0,,,0,0,0,0,0,0
1992,MRI,8.0,9.0,5.0,528.0,159.0,0.0015595217466643563,0.006289308176100629,0.24796395771963264,1.8,0.0,0.0,,0,0,0,0,0,0
1996,MRI,13.0,17.0,4.0,573.0,168.0,0.0027108914048796047,0.005952380952380952,0.4554297560197736,4.25,0.0,0.0,0.0,0,0,0,0,0,0
2000,MRI,26.0,23.0,6.0,604.0,197.0,0.00339583640927211,0.005076142131979695,0.6689797726266057,3.8333333333333335,0.0,0.0,0.0,0,0,0,0,0,0
2004,MRI,20.0,20.0,8.0,667.0,199.0,0.002849002849002849,0.005025125628140704,0.566951566951567,2.5,0.0,0.0,0.0,0,0,0,0,0,0
2008,MRI,9.0,9.0,5.0,669.0,201.0,0.0013117621337997377,0.004975124378109453,0.26366418889374726,1.8,0.0,0.0,0.0,0,0,1,0,0,1
2012,MRI,11.0,11.0,7.0,673.0,204.0,0.0015543309311855306,0.004901960784313725,0.31708350996184825,1.5714285714285714,1.0,0.0,0.0,0,1,0,0,0,0
2016,MRI,11.0,10.0,7.0,670.0,204.0,0.0014295925661186562,0.004901960784313725,0.2916368834882059,1.4285714285714286,0.0,1.0,0.0,0,1,0,0,0,0
2020,MRI,11.0,11.0,7.0,682.0,205.0,0.0015495140160585999,0.004878048780487805,0.31765037329201296,1.5714285714285714,0.0,0.0,1.0,0,1,0,0,0,0
